Time=5000 | rst=1 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=15000 | rst=1 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
=====TEST 1 : NORMAL OPERATION=====
Time=25000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=35000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=45000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=55000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=65000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=75000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=85000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=95000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=105000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=115000 | rst=0 | Clk=1 | NS=0 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=125000 | rst=0 | Clk=1 | NS=0 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=135000 | rst=0 | Clk=1 | NS=0 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=145000 | rst=0 | Clk=1 | NS=0 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=155000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=165000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=175000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=185000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=195000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=205000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=215000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
=====TEST 2 : SINGLE EMERGENCY NORTH OR SOUTH ROAD=====
Time=225000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
Time=235000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
Time=245000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
Time=255000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
Time=265000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
Time=275000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
Time=285000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
Time=295000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
Time=305000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=0 | S_EMERGENCY=1 | W_Emergency=0
=====TEST 3 : SINGLE EMERGENCY EAST OR WEST ROAD=====
Time=315000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=325000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=335000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=345000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=355000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=365000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=375000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=385000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=395000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
Time=405000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=0 |E_Emergency=1 | S_EMERGENCY=0 | W_Emergency=1
=====TEST 4 : ROUND ROBBIN CASE 1 (BOTH EMERGENCE N OR S AND E OR W)======
Time=415000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=425000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=435000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=445000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=455000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=465000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=475000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=485000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=495000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=505000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
=====TEST 5 : ROUND ROBBIN CASE 2 (BOTH EMERGENCE N OR S AND E OR W)=====
Time=515000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=525000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=535000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=545000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=555000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=565000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=575000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=585000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=595000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=605000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=615000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=625000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=635000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=645000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=655000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=665000 | rst=0 | Clk=1 | NS=0 EW=1 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=675000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=685000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=695000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
Time=705000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=1 |E_Emergency=1 | S_EMERGENCY=1 | W_Emergency=1
=====TEST 6 : PEDESTRAIN DURING NORMAL OPERATION=====
Time=715000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=725000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=735000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=745000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=755000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=765000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=775000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=785000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=795000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=805000 | rst=0 | Clk=1 | NS=1 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=815000 | rst=0 | Clk=1 | NS=0 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
Time=825000 | rst=0 | Clk=1 | NS=0 EW=0 | PED=0 | N_Emergency=0 |E_Emergency=0 | S_EMERGENCY=0 | W_Emergency=0
